Pueblo y grupos de edad;Total - Total;Total - Sexo - Varon ;Total - Sexo - Mujer;Area Urbana  - Total;Area Urbana  - Sexo - Varon ;Area Urbana  - Sexo - Mujer;Area Rural - Total;Area Rural - Sexo - Varon ;Area Rural - Sexo - Mujer
         De 50 a 54 anos;61;34;27;48;27;21;13;7;6
         De 55 a 59 anos;54;23;31;37;13;24;17;10;7
         De 60 a 64 anos;52;28;24;39;21;18;13;7;6
         De 65 a 69 anos;23;10;13;17;8;9;6;2;4
         De 70 a 74 anos;12;7;5;11;6;5;1;1; - 
         De 75 a 79 anos;5;2;3;3;1;2;2;1;1
         De 80 a 84 anos;8;2;6;6;1;5;2;1;1
         De 85 a 89 anos;2; - ;2;2; - ;2; - ; - ; - 
         De 90 anos y mas;2;2; - ; - ; - ; - ;2;2; - 
    Manjui;431;220;211;92;46;46;339;174;165
         De 0 a 4 anos;59;28;31;12;6;6;47;22;25
         De 5 a 9 anos;46;25;21;11;6;5;35;19;16
         De 10 a 14 anos;52;32;20;12;11;1;40;21;19
         De 15 a 19 anos;47;26;21;14;6;8;33;20;13
         De 20 a 24 anos;46;20;26;10;4;6;36;16;20
         De 25 a 29 anos;34;16;18;6;4;2;28;12;16
         De 30 a 34 anos;20;13;7;5;3;2;15;10;5
         De 35 a 39 anos;27;10;17;3; - ;3;24;10;14
         De 40 a 44 anos;25;14;11;5;1;4;20;13;7
         De 45 a 49 anos;28;11;17;9;3;6;19;8;11
         De 50 a 54 anos;17;11;6;3;2;1;14;9;5
         De 55 a 59 anos;6;2;4;1; - ;1;5;2;3
         De 60 a 64 anos;9;5;4;1; - ;1;8;5;3
         De 65 a 69 anos;10;4;6; - ; - ; - ;10;4;6
         De 70 a 74 anos;2;1;1; - ; - ; - ;2;1;1
         De 75 a 79 anos;3;2;1; - ; - ; - ;3;2;1
         De 80 a 84 anos; - ; - ; - ; - ; - ; - ; - ; - ; - 
         De 85 a 89 anos; - ; - ; - ; - ; - ; - ; - ; - ; - 
         De 90 anos y mas; - ; - ; - ; - ; - ; - ; - ; - ; - 
    Ayoreo;2.520;1.301;1.219;3;1;2;2.517;1.300;1.217
         De 0 a 4 anos;249;133;116; - ; - ; - ;249;133;116
         De 5 a 9 anos;210;111;99; - ; - ; - ;210;111;99
         De 10 a 14 anos;220;117;103; - ; - ; - ;220;117;103
         De 15 a 19 anos;257;140;117; - ; - ; - ;257;140;117
         De 20 a 24 anos;242;114;128; - ; - ; - ;242;114;128
         De 25 a 29 anos;254;110;144; - ; - ; - ;254;110;144
         De 30 a 34 anos;209;111;98;1; - ;1;208;111;97
         De 35 a 39 anos;194;91;103; - ; - ; - ;194;91;103
